,team1,team2,pre1,pre2,prob1,prob2,score1,score2
615,12,9,2213.3798301600173,2115.139957756982,0.9110586784855961,0.5038393155601034,2.0,1.0
616,14,23,2242.746771354722,2052.3695860392877,0.9900524789590818,0.42467050247667715,11.0,9.0
617,1,19,2136.471752058145,2190.2647837292066,0.6816666687110267,0.7334453701632433,4.0,3.0
618,0,24,2099.4705660116856,2067.1761715144976,0.7892723067306868,0.626436923101561,7.0,6.0
619,12,9,2212.1159197152892,2116.403949609295,0.8523657387818733,0.5636005061278194,2.0,1.0
620,27,22,2097.0456698973658,2108.792993341415,0.7021195009816261,0.7198085394134698,4.0,14.0
621,16,13,2184.3515669466724,2056.5958445621304,0.9028352234895746,0.5115534768968424,4.0,1.0
622,6,10,2104.175131415987,2023.1621847507795,0.8573191254474529,0.5571129376715694,7.0,2.0
623,25,5,2153.4674847437914,2159.8206621131785,0.7565151009956688,0.6577655948871354,4.0,5.0
624,11,17,2071.8882225318507,2143.2036197414277,0.6769743666704424,0.7374473700551327,4.0,11.0
625,2,29,2167.9211289226237,2177.715320676696,0.7450376075133481,0.6693737206911178,7.0,6.0
626,18,4,2227.890454582098,2115.1236789482095,0.8889655130162842,0.5255550736133023,6.0,3.0
627,3,28,2053.4970280718185,2096.124213407559,0.6654888856122455,0.7540684986383225,2.0,7.0
628,5,25,2162.44157854282,2150.8454672071016,0.7971930524035221,0.6192831678438653,1.0,3.0
629,18,4,2226.3319408116085,2116.682494253796,0.8662980830815341,0.549538272673308,4.0,2.0
630,1,22,2134.977361755637,2110.286830731396,0.7658832803727639,0.6523958243969861,5.0,4.0
631,0,14,2102.089646919114,2240.1270458351055,0.5453172848975857,0.8691077369027631,3.0,8.0
632,24,19,2072.1497101226464,2185.2929608190857,0.5855507679517565,0.828978983495266,3.0,15.0
633,28,26,2098.0677370500625,2180.383878334633,0.6378365791413886,0.7765115371124911,5.0,7.0
634,9,27,2113.782512520639,2099.668440440696,0.7818615298210874,0.6326805106414983,10.0,6.0
635,5,15,2164.3672033580838,2143.5768117513435,0.767735366894494,0.6470309674285819,5.0,6.0
636,16,13,2183.022246365666,2057.9266806019223,0.9190923592892107,0.4952668563197227,4.0,2.0
637,12,23,2211.117134253314,2053.3700065984144,0.9420002090571332,0.47221925079473304,3.0,2.0
638,6,25,2100.3549680514166,2154.673444031207,0.681011029890289,0.7348950188914584,7.0,2.0
639,11,2,2074.749549684511,2165.05987322578,0.6364588956524375,0.7778700932386663,0.0,4.0
640,20,17,2114.2823948879904,2146.3477480504553,0.7236313399725297,0.6907255984436514,6.0,2.0
641,3,29,2054.782452184499,2176.4331368341523,0.5673351439436529,0.8500600554884031,5.0,6.0
642,10,8,2025.2282105580293,2165.025352452916,0.5910424756420067,0.8258619232594073,5.0,8.0
643,0,14,2103.2931388387474,2238.923277502551,0.5338023593374952,0.881595334473202,5.0,6.0
644,9,27,2116.1651096699143,2097.2852717676224,0.8173002153614708,0.5995037382023496,4.0,6.0
645,1,22,2133.538391111881,2111.72463721479,0.7867957597150377,0.6284426268847303,7.0,6.0
646,3,29,2050.7335888623097,2180.4792627493725,0.554536863078969,0.8629754838704764,7.0,3.0
647,12,23,2210.141338567483,2054.3478436720525,0.9512437717270849,0.4632863942462241,2.0,1.0
648,24,19,2073.5492811525905,2183.894046402193,0.5837890749660428,0.8310913029932754,6.0,7.0
649,18,4,2223.499675769885,2119.5156288508074,0.8701833149883784,0.544656244125969,11.0,5.0
650,28,26,2099.546211055705,2178.9062942347286,0.6344698376689408,0.780219477593072,2.0,3.0
651,11,2,2076.182366963754,2163.6272335748185,0.5917866613366808,0.825008050643563,1.0,2.0
652,10,8,2026.773890061422,2163.4788145614043,0.5512683734972501,0.8629451888947537,1.0,3.0
653,20,17,2111.22956503607,2149.400007102127,0.7450095699026689,0.671596464958082,6.0,2.0
654,16,13,2185.9515568242064,2054.9942834993826,0.9065219533489561,0.5079079221781225,2.0,4.0
655,6,25,2102.931410038583,2152.0945826858665,0.6833197359381129,0.7320936628625101,3.0,6.0
656,5,15,2166.204647997651,2141.7397007011823,0.7353437731472001,0.6841020190677095,5.0,6.0
657,16,13,2184.6491511463305,2056.2981859055412,0.9264478828289617,0.48799436333027196,4.0,2.0
658,6,25,2106.0798193101637,2148.9440901644407,0.7093282302682696,0.7077122274958747,1.0,5.0
659,24,19,2074.9779182154703,2182.466091914116,0.5934462836985988,0.8211529263515018,7.0,8.0
660,1,22,2130.7146813323193,2114.5467907079833,0.7633001456100778,0.6534870110260582,5.0,1.0
661,0,14,2105.27896019491,2236.9371571786187,0.545249001248687,0.8697497138853697,4.0,7.0
662,12,23,2206.7053803946865,2057.7887178609676,0.9211780584579042,0.49309021360329064,11.0,1.0
663,9,27,2117.927167373426,2095.5220521807137,0.7257444020600036,0.6929910627901515,2.0,3.0
664,5,15,2168.093671996911,2139.8511577350446,0.7528071824049932,0.6648089649089579,3.0,4.0
665,11,2,2071.5158154612145,2168.2935383372237,0.6366128591824085,0.7781391501480888,8.0,2.0
666,10,8,2029.4245873161326,2160.8268678526406,0.5647086814914553,0.8495444217784287,5.0,10.0
667,7,21,2118.397767227581,2064.027386544002,0.8408505662378107,0.5757842111675572,8.0,1.0
668,20,17,2109.508948952486,2151.1205106369016,0.7089197522057055,0.7054907652175954,6.0,5.0
669,18,4,2220.7855724676324,2122.2326668836345,0.9309669248054955,0.48695687441007024,10.0,3.0
670,3,29,2055.2999199889387,2175.928326767505,0.549608873447222,0.8722462365043732,3.0,15.0
671,28,26,2094.0657147135726,2184.3844875709297,0.6291169492602837,0.7851418920901186,12.0,4.0
672,14,22,2233.4007444417434,2118.0825575050912,0.889250971211001,0.5267835712358272,11.0,2.0
673,5,15,2166.18989352121,2141.754574300977,0.8009611025905217,0.6133224631391547,4.0,2.0
674,7,21,2121.7058035282303,2060.7145871069047,0.8215394045722345,0.5928737866608119,6.0,9.0
675,4,26,2127.0763502857403,2179.5421374590746,0.6720443604113131,0.7424761723733081,8.0,17.0
676,20,3,2115.056560303623,2047.614407452677,0.8464039799099903,0.5705615948150727,4.0,11.0
677,17,29,2146.920478658516,2182.2896327011977,0.6918922613651628,0.7223237319241815,8.0,2.0
678,14,22,2230.611134473085,2120.8715285881353,0.8883493226294735,0.5270101919709337,6.0,0.0
679,27,23,2093.1673904956106,2060.1451922801275,0.759239581813489,0.6555798455293814,7.0,4.0
680,4,26,2129.9317781980812,2176.688212664905,0.653243259611409,0.7638483863560047,5.0,9.0
681,17,29,2142.9664087628244,2186.2459735957277,0.662281053981355,0.7522860810749632,11.0,6.0
682,15,16,2147.141699136443,2179.2667479321017,0.6788268508109602,0.7384196114634989,2.0,12.0
683,12,24,2204.7886785052297,2076.9005858530727,0.941092359376899,0.47585103976304827,5.0,1.0
684,20,3,2117.1758251823844,2045.491892167823,0.8405059105780817,0.5751477474254135,4.0,5.0
685,18,2,2218.625017502463,2170.4551604497588,0.8209441985113508,0.5933375709511168,6.0,3.0
686,7,13,2123.6624868380213,2054.336894172944,0.7871767859644728,0.62852776031849,4.0,5.0
687,28,11,2097.1141913439856,2068.4692516705063,0.771522738957933,0.6445651128027402,11.0,14.0
688,8,5,2164.5494498058238,2162.466431095146,0.721670350289453,0.6943291157245898,2.0,7.0
689,0,19,2108.0826333684063,2179.6587767996803,0.634666031195529,0.7800570271656785,4.0,8.0
690,9,1,2121.95675494931,2126.685032952624,0.7256611448026727,0.6894138871127237,7.0,13.0
691,10,6,2031.3452051911454,2104.159358995717,0.6479946288865336,0.7662669394183572,5.0,7.0
692,14,22,2235.1863484313635,2116.299063317138,0.9063207937247583,0.5087412339830294,2.0,6.0
693,0,19,2103.4931277086916,2184.260681663278,0.6455316017400616,0.7714671460597509,6.0,0.0
694,12,24,2207.1119738988805,2074.5729780334314,0.8945486504852989,0.5198610122269128,6.0,7.0
695,27,23,2091.298531641656,2062.0159437783213,0.7671070192030246,0.6471668229556883,4.0,2.0
696,9,1,2120.2783889534944,2128.3633730469837,0.705934164604351,0.7105345404625908,8.0,7.0
697,15,16,2144.825520893464,2181.581660745089,0.7063204567285644,0.7080284672169935,6.0,4.0
698,4,26,2133.920651905558,2172.701031225344,0.7068708742520514,0.7073554112950825,2.0,8.0
699,17,29,2144.5327097562213,2184.6780347858225,0.6488809167093088,0.7671179093536415,1.0,2.0
700,10,6,2034.127711517329,2101.3773278186177,0.6437275896866484,0.7710435122235666,4.0,8.0
701,8,5,2168.7263950037805,2158.289130420133,0.7237780642012478,0.6938061127655977,1.0,7.0
702,20,3,2119.354965625778,2043.3101491734478,0.8607826701283781,0.556358711647877,9.0,10.0
